Gene Group 1	Enrichment Score: 1.5923872777667787
E4f1, Dnase1l2	deoxyribonuclease 1-like 2; E4F transcription factor 1
Zfp94	zinc finger protein 94
Klf2	Kruppel-like factor 2 (lung)
Csrp2	cysteine and glycine-rich protein 2
Plag1	pleiomorphic adenoma gene 1
Zmym6	zinc finger, MYM-type 6
Zfp52	zinc finger protein 52
Nr4a3	nuclear receptor subfamily 4, group A, member 3
Klf11	transcription factor CP2-like 2
Klf4	Kruppel-like factor 4 (gut)
Zufsp	zinc finger with UFM1-specific peptidase domain
Prdm9	PR domain containing 9
Cebpb	CCAAT/enhancer binding protein (C/EBP), beta
Rassf1	Ras association (RalGDS/AF-6) domain family member 1
Zfp386	zinc finger protein 386 (Kruppel-like)
Hif3a	hypoxia inducible factor 3, alpha subunit
Plagl1	pleiomorphic adenoma gene-like 1
Ablim3	actin binding LIM protein family, member 3
Klf10	Kruppel-like factor 10

Gene Group 11	Enrichment Score: 0.8847974382026228
OFFICIAL_GENE_SYMBOL	Gene Name
Fmo1	flavin containing monooxygenase 1
Cyp2e1	cytochrome P450, family 2, subfamily e, polypeptide 1
Fmo6	flavin containing monooxygenase 6
Fmo3	flavin containing monooxygenase 3
Fmo2	flavin containing monooxygenase 2

Gene Group 12	Enrichment Score: 0.8791864035496954
OFFICIAL_GENE_SYMBOL	Gene Name
Erf	Ets2 repressor factor
Pou6f1	POU class 6 homeobox 1
Mef2b	myocyte enhancer factor 2B
Zfp110	zinc finger protein 110
Sox18	SRY (sex determining region Y)-box 18
Rfx3	regulatory factor X, 3 (influences HLA class II expression)

Gene Group 13	Enrichment Score: 0.8472081414350259
OFFICIAL_GENE_SYMBOL	Gene Name
Pkhd1l1	polycystic kidney and hepatic disease 1-like 1
Gprc5a	G protein-coupled receptor, family C, group 5, member A
Vom2r44	vomeronasal 2 receptor 44
Gprc5d	G protein-coupled receptor, family C, group 5, member D

Gene Group 14	Enrichment Score: 0.7975150816439402
OFFICIAL_GENE_SYMBOL	Gene Name
Galnt7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
Reg3g	regenerating islet-derived 3 gamma
Clec4d	C-type lectin domain family 4, member d
Asgr2	asialoglycoprotein receptor 2
Olr1	oxidized low density lipoprotein (lectin-like) receptor 1
Clec4e	C-type lectin domain family 4, member e

Gene Group 15	Enrichment Score: 0.7918962576990579
OFFICIAL_GENE_SYMBOL	Gene Name
Testin	testin gene
Tinagl1	tubulointerstitial nephritis antigen-like 1
RGD1564827	similar to cathepsin M
Lcn2	lipocalin 2

Gene Group 16	Enrichment Score: 0.7488157717419182
OFFICIAL_GENE_SYMBOL	Gene Name
Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
Ptprs	protein tyrosine phosphatase, receptor type, S
Esam	endothelial cell adhesion molecule
Robo4	roundabout homolog 4 (Drosophila)

Gene Group 17	Enrichment Score: 0.7219251547236571
OFFICIAL_GENE_SYMBOL	Gene Name
Slfn3	schlafen 3
Spag1	sperm associated antigen 1
Arl4a	ADP-ribosylation factor-like 4A
Gimap6	GTPase, IMAP family member 6
Gem	GTP binding protein (gene overexpressed in skeletal muscle)
Kif21a	kinesin family member 21A
Rnd2	Rho family GTPase 2
Rergl	RERG/RAS-like
Gimap7	GTPase, IMAP family member 7
Gimap8	GTPase, IMAP family member 8
Rhebl1	Ras homolog enriched in brain like 1

Gene Group 18	Enrichment Score: 0.708802447402855
OFFICIAL_GENE_SYMBOL	Gene Name
C1rl	complement component 1, r subcomponent-like
C6	complement component 6
Cfi	complement factor I
Gzmk	granzyme K

Gene Group 19	Enrichment Score: 0.5794453066928471
OFFICIAL_GENE_SYMBOL	Gene Name
Krt19	keratin 19
Krt12	keratin 12
Krt17	keratin 17
Krt14	keratin 14

Gene Group 20	Enrichment Score: 0.5057720970601509
OFFICIAL_GENE_SYMBOL	Gene Name
Adra2b	adrenergic, alpha-2B-, receptor
Procr	protein C receptor, endothelial
Mc4r	melanocortin 4 receptor
Vom2r44	vomeronasal 2 receptor 44
Gpr4	G protein-coupled receptor 4
Olr63	olfactory receptor 63
Sstr3	somatostatin receptor 3
Tmem140	transmembrane protein 140
Nlgn2	neuroligin 2
Clec4e	C-type lectin domain family 4, member e
Osmr	oncostatin M receptor
Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
Gpr160	G protein-coupled receptor 160
Clec4d	C-type lectin domain family 4, member d
Olr59	olfactory receptor 59
Fzd4	frizzled homolog 4 (Drosophila)
Glp2r	glucagon-like peptide 2 receptor

Gene Group 21	Enrichment Score: 0.4011724026844549
OFFICIAL_GENE_SYMBOL	Gene Name
Tmem140	transmembrane protein 140
Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
Slc10a6	solute carrier family 10 (sodium/bile acid cotransporter family), member 6
Slc28a2	similar to solute carrier family 28, member 2; solute carrier family 28 (sodium-coupled nucleoside transporter), member 2

Gene Group 22	Enrichment Score: 0.11714024005394545
OFFICIAL_GENE_SYMBOL	Gene Name
Tspan1	tetraspanin 1
Cmtm8	CKLF-like MARVEL transmembrane domain containing 8
Slc35e4	solute carrier family 35, member E4
Abhd6	abhydrolase domain containing 6
RGD1310587	similar to hypothetical protein FLJ14146
Tmem140	transmembrane protein 140
Tusc5	tumor suppressor candidate 5
Gramd1a	GRAM domain containing 1A
RGD1310127	similar to cDNA sequence BC017158
Gpr160	G protein-coupled receptor 160
Xkr7	XK, Kell blood group complex subunit-related family, member 7
Rtn1	reticulon 1

Gene Group 23	Enrichment Score: 0.09530224826866907
OFFICIAL_GENE_SYMBOL	Gene Name
Fbxo9	f-box protein 9
Rnf144b	ring finger protein 144B
Usp54	ubiquitin specific peptidase 54
Herc6	potential ubiquitin ligase

