"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"217","XLOC_000217","XLOC_000217","Igf2r","1:48176105-48264477","ZL","ZDF","OK",18.8192,10.6822,-0.817,-1.50983,0.0277,0.287747,"no"
"242","XLOC_000242","XLOC_000242","Smoc2","1:56242345-56374120","ZL","ZDF","OK",5.79743,1.99062,-1.5422,-3.1309,5e-05,0.00520877,"yes"
"254","XLOC_000254","XLOC_000254","Riok2","1:59129913-59150689","ZL","ZDF","OK",7.61322,4.4677,-0.768975,-1.5845,0.0233,0.264681,"no"
"256","XLOC_000256","XLOC_000256","LOC688452","1:59700203-59719686","ZL","ZDF","OK",3.13973,7.37299,1.23161,1.70856,0.00475,0.107639,"no"
"265","XLOC_000265","XLOC_000265","Ppp2r1a","1:60717171-60737564","ZL","ZDF","OK",101.505,53.2962,-0.929444,-1.60239,0.01965,0.243476,"no"
"271","XLOC_000271","XLOC_000271","Zfp677","1:61258751-61278643","ZL","ZDF","OK",2.63233,5.19508,0.980805,1.71756,0.0132,0.198189,"no"
"272","XLOC_000272","XLOC_000272","Zfp54","1:61286359-61338609","ZL","ZDF","OK",1.64573,3.78166,1.20029,1.9506,0.0078,0.144441,"no"
"273","XLOC_000273","XLOC_000273","AABR07001899.1,Zfp52","1:61349522-61509765","ZL","ZDF","OK",7.35876,14.4941,0.977928,1.70163,0.0254,0.275712,"no"
"314","XLOC_000314","XLOC_000314","Mzf1","1:65521085-65533212","ZL","ZDF","OK",0.567235,1.55422,1.45418,2.44589,0.001,0.0438743,"yes"
"349","XLOC_000349","XLOC_000349","Hiat1","1:69788608-69820983","ZL","ZDF","OK",3.7625,6.67152,0.826323,1.68145,0.0168,0.224487,"no"
"356","XLOC_000356","XLOC_000356","Peg3","1:70210845-70237448","ZL","ZDF","OK",5.31747,9.99178,0.910002,1.72702,0.0153,0.214757,"no"
"382","XLOC_000382","XLOC_000382","Sbk2","1:72425706-72433488","ZL","ZDF","OK",0.844572,0.328788,-1.36106,-1.76093,0.01565,0.217036,"no"
"397","XLOC_000397","XLOC_000397","Ppp1r12c","1:72903256-72926273","ZL","ZDF","OK",30.5745,55.9988,0.873066,1.58265,0.0254,0.275712,"no"
"432","XLOC_000432","XLOC_000432","AABR07002627.1","1:78112558-78149053","ZL","ZDF","OK",3.152,1.65304,-0.931148,-1.546,0.029,0.293215,"no"
"439","XLOC_000439","XLOC_000439","Slc1a5","1:78710538-78725198","ZL","ZDF","OK",3.34897,1.56807,-1.09473,-1.92421,0.00725,0.13906,"no"
"442","XLOC_000442","XLOC_000442","Prkd2","1:78767345-78796241","ZL","ZDF","OK",9.33346,16.7856,0.846743,1.80033,0.01185,0.186453,"no"
"457","XLOC_000457","XLOC_000457","Mill1","1:79631667-79657943","ZL","ZDF","OK",0.684452,2.7179,1.98947,3.12895,5e-05,0.00520877,"yes"
"460","XLOC_000460","XLOC_000460","Micb","1:79754586-79775110","ZL","ZDF","OK",1.14368,2.18908,0.93665,1.62705,0.0214,0.254542,"no"
"472","XLOC_000472","XLOC_000472","Eml2","1:80087683-80120534","ZL","ZDF","OK",13.003,7.51329,-0.791324,-1.64344,0.01885,0.238127,"no"
"474","XLOC_000474","XLOC_000474","Gpr4","1:80125635-80137520","ZL","ZDF","OK",13.4299,32.2008,1.26165,2.23785,0.00205,0.0679654,"no"
"475","XLOC_000475","XLOC_000475","Opa3","1:80141569-80163636","ZL","ZDF","OK",22.3043,7.80393,-1.51505,-2.59692,3e-04,0.019395,"yes"
"477","XLOC_000477","XLOC_000477","Rtn2","1:80195531-80208448","ZL","ZDF","OK",57.9669,24.5566,-1.23912,-2.40832,0.001,0.0438743,"yes"
"478","XLOC_000478","XLOC_000478","Fosb","1:80214493-80221710","ZL","ZDF","OK",2.25514,8.26337,1.87351,2.20939,0.00295,0.0810549,"no"
"495","XLOC_000495","XLOC_000495","Kcnn4","1:81230611-81245996","ZL","ZDF","OK",1.68409,4.97712,1.56334,2.42999,0.00125,0.0495961,"yes"
"497","XLOC_000497","XLOC_000497","Plaur","1:81328082-81345286","ZL","ZDF","OK",3.16281,6.24899,0.982414,1.71066,0.01785,0.230529,"no"
"518","XLOC_000518","XLOC_000518","Megf8","1:82184849-82236179","ZL","ZDF","OK",9.21594,16.5334,0.843184,1.46602,0.03915,0.333678,"no"
"549","XLOC_000549","XLOC_000549","Prx","1:84304227-84325406","ZL","ZDF","OK",1.42172,2.9178,1.03724,2.17137,0.0032,0.083937,"no"
"550","XLOC_000550","XLOC_000550","Hipk4","1:84328113-84338706","ZL","ZDF","OK",1.32943,3.39204,1.35134,2.39025,0.00095,0.0425294,"yes"
"551","XLOC_000551","XLOC_000551","RGD1307554","1:84361709-84388527","ZL","ZDF","OK",18.5481,10.971,-0.757578,-1.56085,0.0274,0.285847,"no"
"552","XLOC_000552","XLOC_000552","Akt2","1:84400933-84461537","ZL","ZDF","OK",43.5113,19.0684,-1.19021,-1.51937,0.0288,0.292403,"no"
"567","XLOC_000567","XLOC_000567","Pak4","1:85162451-85201757","ZL","ZDF","OK",8.02716,3.57042,-1.16879,-2.44008,0.00105,0.0454332,"yes"
"574","XLOC_000574","XLOC_000574","Plekhg2","1:85386462-85399737","ZL","ZDF","OK",8.65842,14.1598,0.709623,1.4426,0.04095,0.340568,"no"
"576","XLOC_000576","XLOC_000576","Timm50","1:85470820-85481568","ZL","ZDF","OK",76.8987,39.2125,-0.971647,-1.70594,0.0144,0.207558,"no"
"588","XLOC_000588","XLOC_000588","Fbxo17","1:86914136-86919236","ZL","ZDF","OK",0.490613,0.0870906,-2.49399,-1.72183,0.0295,0.295956,"no"
"628","XLOC_000628","XLOC_000628","Prodh2","1:88955134-88968501","ZL","ZDF","OK",0.242949,0.738691,1.60432,1.50823,0.03625,0.322364,"no"
"635","XLOC_000635","XLOC_000635","Atp4a","1:89162638-89175843","ZL","ZDF","OK",0.751548,7.25049,3.27014,3.24718,5e-05,0.00520877,"yes"
"639","XLOC_000639","XLOC_000639","Lgi4","1:89491609-89509343","ZL","ZDF","OK",2.85939,4.73675,0.728192,1.43058,0.04615,0.361133,"no"
"645","XLOC_000645","XLOC_000645","AABR07002969.1","1:90820594-90889195","ZL","ZDF","OK",15.1169,6.93566,-1.12405,-1.91826,0.00765,0.142867,"no"
"700","XLOC_000700","XLOC_000700","AABR07003187.2","1:98643964-98646900","ZL","ZDF","OK",1.03408,2.83981,1.45745,2.11716,0.0037,0.0923152,"no"
"716","XLOC_000716","XLOC_000716","Klk10","1:99718467-99722792","ZL","ZDF","OK",8.13317,2.29613,-1.82461,-3.30716,5e-05,0.00520877,"yes"
"735","XLOC_000735","XLOC_000735","Shank1","1:100297151-100345315","ZL","ZDF","OK",0.428389,0.100565,-2.09078,-3.01012,2e-04,0.014703,"yes"
"762","XLOC_000762","XLOC_000762","Hrc","1:101324640-101351879","ZL","ZDF","OK",327.593,121.968,-1.42541,-1.61741,0.02005,0.245937,"no"
"763","XLOC_000763","XLOC_000763","Kcna7","1:101397827-101403320","ZL","ZDF","OK",1.62321,0.364048,-2.15665,-3.21885,1e-04,0.00897184,"yes"
"766","XLOC_000766","XLOC_000766","Gys1","1:101427194-101447689","ZL","ZDF","OK",34.3421,14.0084,-1.29369,-2.52179,0.00075,0.0360739,"yes"
"771","XLOC_000771","XLOC_000771","Bcat2","1:101553228-101572084","ZL","ZDF","OK",102.249,27.8369,-1.87702,-3.37485,5e-05,0.00520877,"yes"
"774","XLOC_000774","XLOC_000774","Rasip1","1:101610720-101621662","ZL","ZDF","OK",31.8737,56.1047,0.815755,1.40567,0.04345,0.350872,"no"
"783","XLOC_000783","XLOC_000783","Tmem143","1:101884018-101900177","ZL","ZDF","OK",27.0587,10.4654,-1.37047,-2.67639,5e-05,0.00520877,"yes"
"798","XLOC_000798","XLOC_000798","Tmem86a","1:103172986-103177417","ZL","ZDF","OK",12.2905,4.24117,-1.53501,-3.15615,5e-05,0.00520877,"yes"
"800","XLOC_000800","XLOC_000800","Zdhhc13","1:104106244-104145047","ZL","ZDF","OK",2.72104,1.49911,-0.860048,-1.59385,0.02495,0.273257,"no"
"808","XLOC_000808","XLOC_000808","Prmt3","1:105113594-105203443","ZL","ZDF","OK",5.02653,2.99734,-0.745881,-1.43905,0.0386,0.331432,"no"
"838","XLOC_000838","XLOC_000838","Oca2","1:114679536-114987433","ZL","ZDF","OK",0.877456,0.318528,-1.4619,-1.90988,0.00955,0.163615,"no"
"865","XLOC_000865","XLOC_000865","Ndn","1:122981754-122983351","ZL","ZDF","OK",2.02507,1.02661,-0.980087,-1.51729,0.03735,0.326049,"no"
"873","XLOC_000873","XLOC_000873","Mcee","1:125229468-125254639","ZL","ZDF","OK",49.2849,30.4676,-0.693871,-1.37271,0.0495,0.37198,"no"
"879","XLOC_000879","XLOC_000879","Pcsk6","1:126749507-126947785","ZL","ZDF","OK",25.7297,12.956,-0.989812,-1.97224,0.00525,0.114371,"no"
"905","XLOC_000905","XLOC_000905","Rgma","1:134699298-134742515","ZL","ZDF","OK",29.0141,13.4798,-1.10595,-2.26247,0.0012,0.0484875,"yes"
"909","XLOC_000909","XLOC_000909","Fam174b","1:135083658-135162693","ZL","ZDF","OK",16.0061,6.94792,-1.20397,-1.46539,0.015,0.212308,"no"
"921","XLOC_000921","XLOC_000921","Isg20","1:140601790-140608946","ZL","ZDF","OK",3.16554,6.72753,1.08763,1.83115,0.01275,0.194894,"no"
"923","XLOC_000923","XLOC_000923","Abhd2","1:140998239-141092217","ZL","ZDF","OK",5.79095,2.90658,-0.994475,-2.10614,0.00185,0.0638381,"no"
"942","XLOC_000942","XLOC_000942","Prc1","1:142087207-142108746","ZL","ZDF","OK",2.54068,1.09038,-1.22038,-2.11016,0.0058,0.120729,"no"
"943","XLOC_000943","XLOC_000943","Hddc3","1:142136351-142138737","ZL","ZDF","OK",31.8399,16.8379,-0.919123,-1.8884,0.007,0.136286,"no"
"948","XLOC_000948","XLOC_000948","Slc28a1","1:142950300-142992615","ZL","ZDF","OK",0.779036,1.44783,0.89413,1.45347,0.0398,0.335575,"no"
"993","XLOC_000993","XLOC_000993","Ctsc","1:151918242-151950649","ZL","ZDF","OK",30.0103,14.7401,-1.02571,-2.02044,0.0042,0.0993759,"no"
"997","XLOC_000997","XLOC_000997","Fzd4","1:153589470-153598375","ZL","ZDF","OK",11.1623,21.9249,0.97393,1.87803,0.00735,0.140122,"no"
"999","XLOC_000999","XLOC_000999","Me3","1:153861204-154058573","ZL","ZDF","OK",68.6411,34.8435,-0.978183,-1.59224,0.02525,0.274763,"no"
"1039","XLOC_001039","XLOC_001039","Mogat2","1:164181247-164206037","ZL","ZDF","OK",0.953312,3.53493,1.89066,2.27658,0.00525,0.114371,"no"
"1053","XLOC_001053","XLOC_001053","Kcne3","1:165189984-165201670","ZL","ZDF","OK",0.695767,1.73275,1.31639,1.53503,0.03215,0.30739,"no"
"1059","XLOC_001059","XLOC_001059","Dnajb13","1:165515725-165530095","ZL","ZDF","OK",0.0414019,0.612247,3.88635,2.5274,0.0273,0.285345,"no"
"1070","XLOC_001070","XLOC_001070","Clpb","1:166739531-166885594","ZL","ZDF","OK",22.4378,11.7004,-0.93937,-1.5083,0.0384,0.330102,"no"
"1073","XLOC_001073","XLOC_001073","Lamtor1","1:166991399-167017093","ZL","ZDF","OK",99.913,47.6412,-1.06846,-2.06772,0.00335,0.086631,"no"
"1076","XLOC_001076","XLOC_001076","Art1","1:167192802-167206617","ZL","ZDF","OK",11.4548,4.79763,-1.25555,-1.78211,0.0238,0.267458,"no"
"1079","XLOC_001079","XLOC_001079","Rrm1","1:167538386-167562687","ZL","ZDF","OK",10.6788,6.49053,-0.718334,-1.53286,0.0251,0.273808,"no"
"1091","XLOC_001091","XLOC_001091","Olr63","1:167864364-167874317","ZL","ZDF","OK",2.41356,4.86641,1.01169,1.44669,0.03415,0.315132,"no"
"1166","XLOC_001166","XLOC_001166","Smpd1","1:170383681-170387524","ZL","ZDF","OK",82.892,39.8277,-1.05746,-1.90477,0.0096,0.163834,"no"
"1181","XLOC_001181","XLOC_001181","Olfml1,Ppfibp2","1:171793781-171969720","ZL","ZDF","OK",10.3202,6.19358,-0.736621,-1.47702,0.0367,0.323587,"no"
"1223","XLOC_001223","XLOC_001223","Ampd3","1:175586096-175630495","ZL","ZDF","OK",15.8579,8.11916,-0.965803,-1.96856,0.00475,0.107639,"no"
"1233","XLOC_001233","XLOC_001233","Tead1","1:177495781-177714826","ZL","ZDF","OK",10.0074,3.52955,-1.50352,-1.34722,0.04305,0.34931,"no"
"1241","XLOC_001241","XLOC_001241","Spon1","1:178636543-178937267","ZL","ZDF","OK",4.73442,2.72869,-0.794981,-1.63972,0.0201,0.246413,"no"
"1249","XLOC_001249","XLOC_001249","Pik3c2a","1:185210921-185326314","ZL","ZDF","OK",3.59839,10.9279,1.6026,3.25085,5e-05,0.00520877,"yes"
"1254","XLOC_001254","XLOC_001254","Sox6","1:185632198-186187087","ZL","ZDF","OK",1.6689,0.938832,-0.82996,-1.03438,0.04865,0.369642,"no"
"1260","XLOC_001260","XLOC_001260","Ccp110","1:188420460-188444996","ZL","ZDF","OK",1.00785,1.70706,0.760241,1.47894,0.03625,0.322364,"no"
"1281","XLOC_001281","XLOC_001281","Vwa3a","1:190681093-190742583","ZL","ZDF","OK",0.73675,1.45316,0.979949,1.48519,0.03765,0.327367,"no"
"1299","XLOC_001299","XLOC_001299","Tnrc6a","1:193076429-193146405","ZL","ZDF","OK",6.46646,18.3215,1.50249,2.79469,3e-04,0.019395,"yes"
"1323","XLOC_001323","XLOC_001323","Ypel3","1:198210524-198213962","ZL","ZDF","OK",47.5058,87.624,0.883223,1.7547,0.01435,0.207382,"no"
"1324","XLOC_001324","XLOC_001324","Tbx6","1:198214796-198218706","ZL","ZDF","OK",0.747817,1.7487,1.22553,1.41598,0.04285,0.348588,"no"
"1326","XLOC_001326","XLOC_001326","Fam57b","1:198241480-198265843","ZL","ZDF","OK",7.09338,15.5929,1.13634,2.07792,0.0034,0.0872058,"no"
"1336","XLOC_001336","XLOC_001336","Zfp553","1:198680775-198685144","ZL","ZDF","OK",4.47589,2.7093,-0.724254,-1.45675,0.0353,0.31905,"no"
"1350","XLOC_001350","XLOC_001350","Fbxl19","1:199196038-199216920","ZL","ZDF","OK",2.89693,4.77779,0.72182,1.47953,0.0352,0.318933,"no"
"1358","XLOC_001358","XLOC_001358","Trim72","1:199449789-199458471","ZL","ZDF","OK",163.647,59.9174,-1.44954,-2.1686,0.0031,0.0825953,"no"
"1367","XLOC_001367","XLOC_001367","Bag3","1:199941160-199965191","ZL","ZDF","OK",127.458,64.9092,-0.973527,-1.4344,0.0451,0.356855,"no"
"1377","XLOC_001377","XLOC_001377","Dmbt1","1:201660041-201689847","ZL","ZDF","OK",0.473992,0.915555,0.949784,1.44718,0.04205,0.345146,"no"
"1384","XLOC_001384","XLOC_001384","Acadsb","1:201981356-202023853","ZL","ZDF","OK",32.7335,12.3423,-1.40716,-2.95623,0.00015,0.0121666,"yes"
"1428","XLOC_001428","XLOC_001428","Lrrc27","1:211543745-211576028","ZL","ZDF","OK",8.49808,4.333,-0.971772,-1.85449,0.00895,0.156632,"no"
"1430","XLOC_001430","XLOC_001430","Inpp5a","1:211732712-211921099","ZL","ZDF","OK",77.8582,37.5118,-1.0535,-1.80433,0.01285,0.195471,"no"
"1431","XLOC_001431","XLOC_001431","AABR07005985.2","1:212146247-212148936","ZL","ZDF","OK",6.73367,19.519,1.53541,2.73302,0.00015,0.0121666,"yes"
"1440","XLOC_001440","XLOC_001440","Cd163l1","1:212695734-212706790","ZL","ZDF","OK",0.458241,0.143671,-1.67333,-1.47875,0.033,0.310519,"no"
"1459","XLOC_001459","XLOC_001459","Cyp2e1","1:213511873-213535542","ZL","ZDF","OK",8.55847,15.2937,0.83751,1.52702,0.02765,0.287364,"no"
"1475","XLOC_001475","XLOC_001475","Cracr2b","1:214005790-214008973","ZL","ZDF","OK",0.140663,0.540475,1.94198,1.79491,0.0297,0.297827,"no"
"1485","XLOC_001485","XLOC_001485","Eps8l2","1:214328070-214353461","ZL","ZDF","OK",0.452147,1.63402,1.85356,3.01238,2e-04,0.014703,"yes"
"1504","XLOC_001504","XLOC_001504","Syt8,Tnni2","1:215602213-215611658","ZL","ZDF","OK",1.53519,6.74241,2.13485,2.90214,5e-05,0.00520877,"yes"
"1510","XLOC_001510","XLOC_001510","Kcnq1","1:216293086-216630542","ZL","ZDF","OK",22.1021,12.7243,-0.796596,-0.950558,0.0354,0.31956,"no"
"1511","XLOC_001511","XLOC_001511","Slc22a18","1:216676361-216700641","ZL","ZDF","OK",6.7116,11.5614,0.784585,1.62473,0.02185,0.256837,"no"
"1514","XLOC_001514","XLOC_001514","Dhcr7","1:217018915-217034904","ZL","ZDF","OK",1.56764,0.648881,-1.27257,-1.97832,0.0072,0.138706,"no"
"1530","XLOC_001530","XLOC_001530","RGD1311946","1:218945507-218954280","ZL","ZDF","OK",5.14024,2.85529,-0.848197,-1.67106,0.0178,0.230425,"no"
"1546","XLOC_001546","XLOC_001546","Clcf1","1:219468674-219472654","ZL","ZDF","OK",0.858415,2.3507,1.45334,1.90679,0.00865,0.153088,"no"
"1550","XLOC_001550","XLOC_001550","Pc","1:219759158-219859975","ZL","ZDF","OK",12.6965,4.85653,-1.38643,-2.56439,0.00025,0.0171727,"yes"
"1561","XLOC_001561","XLOC_001561","Rin1","1:220335253-220342297","ZL","ZDF","OK",0.376896,0.700437,0.894089,1.44463,0.0437,0.351599,"no"
"1568","XLOC_001568","XLOC_001568","Yif1a","1:220469961-220480132","ZL","ZDF","OK",51.4422,22.4522,-1.1961,-2.39391,0.00075,0.0360739,"yes"
"1602","XLOC_001602","XLOC_001602","Men1","1:221704452-221710344","ZL","ZDF","OK",8.35008,14.035,0.749163,1.55352,0.02805,0.289604,"no"
"1606","XLOC_001606","XLOC_001606","Rasgrp2","1:221772573-221788765","ZL","ZDF","OK",3.57158,9.93497,1.47595,3.05827,5e-05,0.00520877,"yes"
"1662","XLOC_001662","XLOC_001662","Ddb1","1:226657526-226683452","ZL","ZDF","OK",44.374,23.5519,-0.91387,-1.63916,0.0217,0.256307,"no"
"1678","XLOC_001678","XLOC_001678","Mrpl16","1:228142774-228149293","ZL","ZDF","OK",70.8891,38.714,-0.872707,-1.5621,0.0247,0.272419,"no"
"1688","XLOC_001688","XLOC_001688","Mpeg1","1:228724595-228729344","ZL","ZDF","OK",3.49349,1.69239,-1.0456,-2.15801,0.00225,0.0697563,"no"
"1740","XLOC_001740","XLOC_001740","Gcnt1","1:236547583-236585040","ZL","ZDF","OK",6.14073,12.036,0.970879,2.01972,0.00445,0.103728,"no"
"1774","XLOC_001774","XLOC_001774","Vldlr","1:245236976-245273731","ZL","ZDF","OK",18.7629,6.15208,-1.60874,-3.00323,5e-05,0.00520877,"yes"
"1775","XLOC_001775","XLOC_001775","Kcnv2","1:245396988-245416531","ZL","ZDF","OK",0.396834,0.179105,-1.14773,-1.58826,0.02605,0.278504,"no"
"1795","XLOC_001795","XLOC_001795","Chchd4","1:248402979-248403399","ZL","ZDF","OK",6.2238,2.42508,-1.35976,-1.5504,0.03315,0.310999,"no"
"1808","XLOC_001808","XLOC_001808","Papss2","1:251145252-251230833","ZL","ZDF","OK",5.01944,8.42305,0.746817,1.59494,0.02295,0.263565,"no"
"1834","XLOC_001834","XLOC_001834","Hectd2","1:255185628-255254307","ZL","ZDF","OK",3.61949,7.56748,1.06402,2.14123,0.00225,0.0697563,"no"
"1842","XLOC_001842","XLOC_001842","March5","1:255842782-255865432","ZL","ZDF","OK",24.9885,12.723,-0.973817,-1.85351,0.00955,0.163615,"no"
"1843","XLOC_001843","XLOC_001843","Kif11","1:256035865-256088299","ZL","ZDF","OK",0.85705,0.283174,-1.59769,-2.44059,0.00205,0.0679654,"no"
"1844","XLOC_001844","XLOC_001844","Hhex","1:256101902-256107685","ZL","ZDF","OK",4.16222,7.46645,0.843069,1.71594,0.01635,0.221299,"no"
"1876","XLOC_001876","XLOC_001876","Lcor","1:260732484-260835778","ZL","ZDF","OK",11.9399,37.4537,1.64932,5.79478,0.0063,0.127397,"no"
"1882","XLOC_001882","XLOC_001882","Ubtd1","1:261229346-261280546","ZL","ZDF","OK",16.2427,7.84369,-1.05018,-2.20555,0.002,0.0673231,"no"
"1893","XLOC_001893","XLOC_001893","Kcnip2","1:262892544-262916361","ZL","ZDF","OK",2.2642,0.680568,-1.73419,-2.78297,3e-04,0.019395,"yes"
"1903","XLOC_001903","XLOC_001903","Scd2","1:264059373-264072433","ZL","ZDF","OK",12.1059,6.32703,-0.936116,-1.99306,0.0058,0.120729,"no"
"1907","XLOC_001907","XLOC_001907","Hif1an","1:264309174-264330471","ZL","ZDF","OK",10.197,3.71179,-1.45796,-2.53514,1e-04,0.00897184,"yes"
"1918","XLOC_001918","XLOC_001918","Kazald1","1:264827738-264831151","ZL","ZDF","OK",3.7802,2.24221,-0.753541,-1.39592,0.0479,0.366988,"no"
"1936","XLOC_001936","XLOC_001936","Wbp1l","1:266358726-266415579","ZL","ZDF","OK",15.1405,26.3317,0.798391,1.58328,0.0232,0.264639,"no"
"1974","XLOC_001974","XLOC_001974","Tcf7l2","1:276659541-276730519","ZL","ZDF","OK",5.89337,10.4139,0.821342,1.72592,0.0165,0.222371,"no"
"1976","XLOC_001976","XLOC_001976","Casp7","1:277190963-277242783","ZL","ZDF","OK",9.47515,6.04361,-0.648738,-1.3985,0.0469,0.364022,"no"
"1981","XLOC_001981","XLOC_001981","Adrb1","1:277537584-277575577","ZL","ZDF","OK",5.61412,3.02102,-0.894025,-1.76455,0.01575,0.21719,"no"
"1997","XLOC_001997","XLOC_001997","Eno4","1:280103694-280127073","ZL","ZDF","OK",0.246186,0.825562,1.74563,2.14079,0.00535,0.11518,"no"
"2021","XLOC_002021","XLOC_002021","Pcmt1","1:1733271-1767832","ZL","ZDF","OK",74.3223,30.8684,-1.26767,-1.56639,0.0182,0.23286,"no"
"2022","XLOC_002022","XLOC_002022","Ginm1","1:1870387-1886209","ZL","ZDF","OK",60.2577,37.361,-0.689613,-1.42509,0.04075,0.339805,"no"
"2035","XLOC_002035","XLOC_002035","Rab32","1:4637490-4653225","ZL","ZDF","OK",2.78343,1.61799,-0.782664,-1.50115,0.0329,0.309711,"no"
"2077","XLOC_002077","XLOC_002077","Pex7","1:15311769-15374850","ZL","ZDF","OK",4.59148,2.48051,-0.888323,-1.59568,0.02455,0.271993,"no"
"2123","XLOC_002123","XLOC_002123","Vnn1","1:22614782-22625204","ZL","ZDF","OK",31.5147,16.834,-0.90465,-1.86644,0.00845,0.151748,"no"
"2131","XLOC_002131","XLOC_002131","Sgk1","1:24185434-24302298","ZL","ZDF","OK",7.71937,14.3095,0.89042,1.91894,0.0069,0.135177,"no"
"2139","XLOC_002139","XLOC_002139","Trdn","1:25403242-25839345","ZL","ZDF","OK",63.926,30.9466,-1.04662,-1.69082,0.0215,0.255041,"no"
"2162","XLOC_002162","XLOC_002162","Clptm1l","1:32281124-32297190","ZL","ZDF","OK",27.4229,16.6505,-0.719812,-1.51588,0.03025,0.300735,"no"
"2164","XLOC_002164","XLOC_002164","Lpcat1","1:32379431-32429917","ZL","ZDF","OK",5.53201,9.62971,0.799687,1.71625,0.0151,0.213175,"no"
"2175","XLOC_002175","XLOC_002175","AABR07001054.2,SNORA17","1:35741318-35996536","ZL","ZDF","OK",2.34473,0.471951,-2.31271,-2.30354,0.002,0.0673231,"no"
"2179","XLOC_002179","XLOC_002179","Nsun2","1:36295649-36319966","ZL","ZDF","OK",11.7798,7.32399,-0.685617,-1.40378,0.04455,0.354545,"no"
"2205","XLOC_002205","XLOC_002205","Syne1","1:41832829-42086601","ZL","ZDF","OK",1.31951,2.21609,0.748015,1.47157,0.0381,0.328809,"no"
"2215","XLOC_002215","XLOC_002215","Cnksr3","1:43789790-43884267","ZL","ZDF","OK",4.35578,2.17425,-1.00242,-1.82487,0.01185,0.186453,"no"
"2221","XLOC_002221","XLOC_002221","RGD1307262","1:46300151-46329897","ZL","ZDF","OK",56.2534,26.0666,-1.10974,-1.78658,0.0124,0.191408,"no"
"2229","XLOC_002229","XLOC_002229","Rsph3","1:47426223-47477655","ZL","ZDF","OK",3.01462,1.66186,-0.859175,-1.47812,0.0353,0.31905,"no"
"2231","XLOC_002231","XLOC_002231","AABR07001497.1","1:47587020-47588122","ZL","ZDF","OK",11.3379,5.10655,-1.15073,-2.21001,0.00345,0.0880772,"no"
"2233","XLOC_002233","XLOC_002233","Sod2","1:47913800-47921735","ZL","ZDF","OK",221.602,97.0332,-1.19142,-1.44439,0.03885,0.33241,"no"
